Unique ID,Brief description of event,State,District,Type of Event,Date,Number of Participants,Uploaded Geotag Photo,Uploaded Video Clip,Zoo_Name
41313,Reduce Single Use Plastic - Visitors Awareness Session,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,14-05-2023,298,Reduce Single Use Plastic,,Indira Gandhi ZP
41333,Life Style for Environment – Pledge and Rally,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,14-05-2023,500,Pledge and Rally,,Indira Gandhi ZP
41362,Healthy Life Style Adopted - Let’s Ride –Bicycle Ride,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,14-05-2023,298,1. Healthy lifestyles Adopted,,Indira Gandhi ZP
41391,Healthy Life Style Adopted - Battery Operated Vehicle - Use of Eco-friendly mode of transport,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,14-05-2023,500,Healthy lifestyles Adopted,,Indira Gandhi ZP
60,"NZP in collaboration with NMNH kick-start the Mass Mobilisation for Mission LiFE on Waste Reduced (Swachhata Actions) to bring behavioral changes among the masses, in which a PPT on waste management, demonstration and interactive session. The participants also pledged to adopt the LiFE Actions.",Delhi (DL),South Delhi,Action & Awareness,05-05-2023,75,Activity and Demonstration,Lecture Cum Demonstration,National ZP
1761,"School and Veterinary college students joined LiFE Movement at NZP in collaboration with NMNH on second day of Mass awareness campaign. The NZP organized the activities like Bicycle rally, LiFE pledge, video presentation on LiFE and signature campaign to create awareness among 210 participants.",Delhi (DL),South Delhi,Action & Awareness,06-05-2023,210,Activity and Demonstration,Bicycle rally,National ZP
11253,"For the Day 3 of Mass Awareness Campaign of Mission LiFE NZP in collaboration with NMNH, 283 participants involved in tree hugging, enumeration, administration of LiFE Style for Environment Pledge and screening of short videos on Mission Life.",Delhi (DL),South Delhi,Action & Awareness,07-05-2023,283,Activity and Demonstration,Lecture Cum Demonstration,National ZP
11262,"247 visitors were made acquainted about the LiFE movement on day 4 of the mass mobilisation of MISSION LIFE, organised by NZP in partnership with NMNH. This exposure encouraged them to develop imaginative paintings, all pledged to live a more sustainable LiFE",Delhi (DL),South Delhi,Action & Awareness,08-05-2023,247,Activity and Demonstration,Lecture Cum Demonstration,National ZP
11267,NZP in collaboration with NMNH nudging individuals to lead environment-friendly lifestyles via Mass Awareness Campaign under Mission LiFE. 261 visitors pledged to practice simple sustainable LiFE actions in their daily lives also shown the excitement of making bird feeders,Delhi (DL),South Delhi,Action & Awareness,09-05-2023,261,Activity and Demonstration,Lecture Cum Demonstration,National ZP
11284,The mass mobilization's Day 6 focused on the concept of waste segregation at the NZP in association with NMNH India. Videos from Mission-LiFE were used to illustrate the same.,Delhi (DL),South Delhi,Action & Awareness,10-05-2023,125,Activity and Demonstration,Lecture Cum Demonstration,National ZP
34690,"Day 7 of Mass mobilisation, NZP have successfully achieved a major milestone in Mission-LiFE initiative and took over a built-up cabin truck from IOCL. This marks the start of a pollution-free environment for NZP and its surroundings.",Delhi (DL),South Delhi,Action & Awareness,11-05-2023,125,Activity and Demonstration,Lecture Cum Demonstration,National ZP
