Unique ID,Brief description of event,State,District,Type of Event,Date,Number of Participants,Uploaded Geotag Photo,Uploaded Video Clip,Zoo_Name
111111,1st day-16 vet interns were sensitized about Mission Life by Head Keeper & Edu Officer Kaushik Kashikar,Maharashtra (MH),Pune,Awareness,06-05-2023,16,Lecture and QA session,,"Rajiv Gandhi Zoo , Pune"
111112,"2nd day-15 vet interns were given more information about Mission Life and List of actions , especially the 75 points by Head Keeper and Edu Officer Kaushik Kashikar , They were briefed in detail for preparing posters and banners",Maharashtra (MH),Pune,Awareness,07-05-2023,15,Lecture and QA session and Drawing Painting,,"Rajiv Gandhi Zoo , Pune"
111113,16 Vet interns interacted with people and told them about Mission Life and it's nessecity,Maharashtra (MH),Pune,Awareness and interaction,08-05-2023,116,Public interaction,Awareness campaign,"Rajiv Gandhi Zoo , Pune"
111114,16 Vet interns interacted with people and told them about Mission Life and it's nessecity,Maharashtra (MH),Pune,Awareness and interaction,09-05-2023,106,Public interaction,Awareness campaign,"Rajiv Gandhi Zoo , Pune"
111115,16 Vet interns interacted with people and told them about Mission Life and it's nessecity,Maharashtra (MH),Pune,Awareness and interaction,11-05-2023,156,Public interaction,Awareness campaign,"Rajiv Gandhi Zoo , Pune"
111116,16 Vet interns interacted with people and told them about Mission Life and it's nessecity,Maharashtra (MH),Pune,Awareness and interaction,12-05-2023,116,Public interaction,Awareness campaign,"Rajiv Gandhi Zoo , Pune"
111117,"16 Vet interns interacted with people and told them about Mission Life and it's nessecity , Live demo and exhibition about recycling single use plastic by expert Prashant Dharne",Maharashtra (MH),Pune,Awareness and interaction,13-05-2023,516,Public interaction,Awareness campaign,"Rajiv Gandhi Zoo , Pune"
73149,Display Of Mission LiFE Information Videos On Ticket Counters Screens Of Rajgir Zoo Safari For Sensitizations Of Tourists.,Bihar (BR),Nalanda,Awareness,16-05-2023,634,Display of videos,Display of videos,"Rajgir Zoo Safari, Nalanda"
72260,Cleanliness Drive In Rajgir Wildlife Sanctuary Area By Staff Of Rajgir Zoo Safari.,Bihar (BR),Nalanda,Action,16-05-2023,50,Cleaness Drive,,"Rajgir Zoo Safari, Nalanda"
89792,LiFE Pledge Given To Tourists In 3D Theater Of Rajgir Zoo Safari On 17.05.2023.,Bihar (BR),Nalanda,Action & Awareness,17-05-2023,368,Sensitization and Pledge,Sensitization and Pledge,"Rajgir Zoo Safari, Nalanda"
90335,"Zoo Safari Visit By School Children And Sighting Of All Animals Housed In Rajgir Zoo Safari, Nalanda And Got Aware About Biodiversity Available In The Area.",Bihar (BR),Nalanda,Action & Awareness,17-05-2023,55,Biodiversitiy Awarness Campaign,Biodiversitiy Awarness Campaign,"Rajgir Zoo Safari, Nalanda"
89990,LiFE Awareness Videos Display At Ticket Counter Of Rajgir Zoo Safari.,Bihar (BR),Nalanda,Awareness,17-05-2023,548,Display of videos,Display of videos,"Rajgir Zoo Safari, Nalanda"
89948,Visit Of School Children To Vermi Compost Unit Of Rajgir Zoo Safari And Awareness About Waste Management And Organic Manuring.,Bihar (BR),Nalanda,Action & Awareness,17-05-2023,50,School Children visit to Vermi Compost,School Children visit to Vermi Compost,"Rajgir Zoo Safari, Nalanda"
89895,"Display Of LiFE Logo On Website, Booking Portal And E- Ticket Of Rajgir Zoo Safari",Bihar (BR),Nalanda,Action & Awareness,17-05-2023,0,logo on Website and tickets,,"Rajgir Zoo Safari, Nalanda"
89868,Pledge Taken By Tourists And School Children At Shapath Stambh At Rajgir Zoo Safari On 17.05.2023.,Bihar (BR),Nalanda,Action & Awareness,17-05-2023,50,Pledge,,"Rajgir Zoo Safari, Nalanda"
108101,Display Of Mission LiFE Information Videos At Safari Plaza's Orientation Room Of Rajgir Zoo Safari For Sensitizations Of Tourists.,Bihar (BR),Nalanda,Awareness,18-05-2023,416,Display of videos,Display of videos,"Rajgir Zoo Safari, Nalanda"
107912,Display Of Mission LiFE Information Videos On Ticket Counters Screens Of Rajgir Zoo Safari For Sensitizations Of Tourists.,Bihar (BR),Nalanda,Awareness,18-05-2023,66,Display of videos,Display of videos,"Rajgir Zoo Safari, Nalanda"
107830,Visit Of Tourists To Vermi Compost Unit Of Rajgir Zoo Safari And Awareness About Waste Management And Organic Manuring.,Bihar (BR),Nalanda,Action & Awareness,18-05-2023,34,Tourist visit to Vermi Compost,Tourist visit to Vermi Compost,"Rajgir Zoo Safari, Nalanda"
107725,Pledge Taken By Tourists At Shapath Stambh At Rajgir Zoo Safari On 18.05.2023.,Bihar (BR),Nalanda,Action & Awareness,18-05-2023,126,Pledge,Pledge,"Rajgir Zoo Safari, Nalanda"
107507,LiFE Pledge Given To Tourists In 3D Theatre Of Rajgir Zoo Safari On 18.05.2023.,Bihar (BR),Nalanda,Action & Awareness,18-05-2023,360,Sensitization and Pledge,Sensitization and Pledge,"Rajgir Zoo Safari, Nalanda"
111118,"16 Vet interns interacted with people and told them about Mission Life and it's nessecity , Live demo and exhibition about recycling single use plastic by expert Prashant Dharne",Maharashtra (MH),,Action & Awareness,14-05-2023,1500,Public interaction,Awareness campaign,"Rajiv Gandhi Zoo , Pune"
111119,16 Vet interns interacted with people and told them about Mission Life and it's nessecity,Maharashtra (MH),,Action & Awareness,15-05-2023,200,Public interaction,Awareness campaign,"Rajiv Gandhi Zoo , Pune"
111120,16 Vet interns interacted with people and told them about Mission Life and it's nessecity,Maharashtra (MH),,Action & Awareness,16-05-2023,200,Public interaction,Awareness campaign,"Rajiv Gandhi Zoo , Pune"
111121,16 Vet interns interacted with people and told them about Mission Life and it's nessecity,Maharashtra (MH),,Action & Awareness,18-05-2023,350,Public interaction,Awareness campaign,"Rajiv Gandhi Zoo , Pune"
111122,Zoo staff with Botanical survey of India staff interacted with people,Maharashtra (MH),,Action & Awareness,19-05-2023,750,Public interaction,Awareness campaign,"Rajiv Gandhi Zoo , Pune"
